car	model	price	動力型式	引擎型式	排氣量	最大馬力	最大扭力	壓縮比	系統總合輸出	馬達出力	驅動型式	變速系統	前輪懸吊	後輪懸吊	煞車型式	輪胎尺碼	車身型式	車門數	座位數	車長	車寬	車高	車重	軸距	標準行李箱容量	後座傾倒行李箱容量	市區油耗	高速油耗	平均油耗	燃料費	牌照稅	油箱容量	主動轉向頭燈	後霧燈	前霧燈	LED尾燈	空力套件	LED頭燈	LED日行燈	車頂行李架	鐵圈	後視鏡方向指示燈	抗UV玻璃	HID氙氣頭燈	雙前座電熱椅	右前座電動腰靠調整	後座出風口	里程電腦	駕駛座電動調整	前座扶手	後座扶手	駕駛座電動腰靠調整	雙前座氣動按摩	右前座電動調整	粉塵過濾器	後座傾角調整	前座杯架	分區溫控	駕駛座位置記憶	右前座位置記憶	助手席調整按鈕	織布座椅	恆溫空調	電動天窗	後座折疊小桌	雙前座跑車座椅	換檔撥片	全景天窗	後座杯架	雙前座冷熱通風功能	方向盤快控鍵	方向盤電動調整	後座分離倒覆	後座前後滑移/傾角調整	AUX IN	8只揚聲器	6只揚聲器	9只揚聲器	中控螢幕	DVD主機	USB插槽	12只揚聲器	4只揚聲器	CD音響主機	11只揚聲器	藍牙通訊	10只揚聲器	MP3播放功能	CD播放功能	衛星導航	倒車影像輔助	光感應自動頭燈	定速巡航	電動窗/天窗防夾功能	HUD抬頭顯示器	電動側滑門	倒車圖像輔助	蜂鳴式倒車輔助系統	免鑰匙啟動車門鎖	電動尾門	手動後窗遮陽簾	雨滴感應雨刷	環景影像系統	後視鏡除霧	行車紀錄器	前方駐車雷達	自動停車系統	電動行李廂蓋	電動後擋遮陽簾	電動窗防夾功能	電動折疊後視鏡	智慧防盜座椅	ACC主動跟車系統	車道變換輔助系統	斜坡起步輔助	主動安全預防系統	胎壓監控	防鎖死煞車系統	後座側面氣囊	雙前座側面氣囊	電子煞車力道輔助系統	ISOFIX兒童安全椅固定	車道偏離警示系統	循跡防滑控制系統	全尺寸頭部氣簾	防盜系統	車道維持輔助系統	駕駛座膝部氣囊	遠光燈自動控制	陡坡緩降系統	煞車力道分配系統	雙前座正面氣囊	雙前座護頸頭枕	兒童安全鎖	預束式安全帶	AEB自動緊急煞車系統
mitsubishi-outlander-2020	典藏型	88.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	215/70R16	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.6km/ltr	16.1km/ltr	13.6km/ltr	6180元	11230元		X	X	X	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	X	O	X
	安全型	92.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	X	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	躍動型	97.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			四輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	215/70R16	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.64km/ltr	14.41km/ltr	12.7km/ltr	6180元	11230元		X	X	O	O	X	X	O	O	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	O	X	X	O	O	O	X	O	X
	安全型七人座	99.9	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	7人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	X	O	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	X	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	X	X	O	X	O	X	O	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	尊貴型	99.9	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	O	O	X	O	O	O	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	O	O	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	旗艦型	109.5	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			四輪驅動	CVT 6速手自排	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	5人座	4690mm	1815mm	1705mm		2670mm			10.64km/ltr	14.41km/ltr	12.7km/ltr	6180元	11230元		X	X	O	O	X	O	O	O	X	O	O	X	X	X	O	O	O	O	O	X	X	X	O	X	O	O	X	X	X	X	O	O	X	X	O	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	O	X	X	X	O	O	O	X	O	X	X	X	X	X	X	X	X	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
	尊貴型七人座	110.9	汽油	自然進氣, 直列4缸, SOHC單凸輪軸, 16氣門	2359cc	168hp@6000rpm	22.4kgm@4200rpm	10.5			前輪驅動	CVT無段變速	麥花臣	多連桿	前後碟煞	225/55R18	運動休旅車	5門	7人座	4690mm	1815mm	1705mm		2670mm			10.92km/ltr	16.01km/ltr	13.7km/ltr	6180元	11230元		X	X	O	O	X	O	O	O	X	O	X	X	X	X	O	O	X	O	O	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	X	X	O	X	O	X	O	X	X	O	X	O	X	O	X	X	X	O	O	X	X	X	X	O	O	O	X	O	X	X	X	X	X	X	X	O	O	X	O	O	O	X	O	O	X	O	O	O	O	O	O	O	X	O	O	X	O	O	O	X	O	O
kia-carens-2020	CRDi 柴油科技版	87.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1685cc	141.4hp@4000rpm	34.7kgm@1750~2500rpm	17			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	205/55R16	跨界休旅車,廂型休旅車	5門	5人座	4525mm	1805mm	1610mm	1549kg	2750mm	536ltr		15.05km/ltr	19.06km/ltr	17.4km/ltr	2880元	7120元	58ltr	X	O	O	X	X	X	O	O	X	X	X	X	X	X	O	O	X	O	X	X	X	X	O	X	O	O	X	X	X	X	O	X	X	X	X	X	O	X	O	X	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	O	X	O	O	X	X	X	X	O	X	X	X	O	X	X	X	X	X	X	X	O	O	X	X	X	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	CRDi 柴油旗艦版	97.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1685cc	141.4hp@4000rpm	34.7kgm@1750~2500rpm	17			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	205/55R16	跨界休旅車,廂型休旅車	5門	5人座	4525mm	1805mm	1610mm	1587kg	2750mm	536ltr		15.05km/ltr	19.06km/ltr	17.4km/ltr	2880元	7120元	58ltr	X	O	O	O	X	X	O	O	X	O	X	O	X	X	O	O	X	O	X	X	X	X	O	X	O	O	X	X	X	X	O	X	O	X	X	O	O	X	O	X	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	O	X	O	O	X	X	X	X	O	O	X	X	O	X	X	X	O	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
	CRDi 柴油旗艦版(七人座客車)	108.9	柴油	渦輪增壓, 直列4缸, DOHC雙凸輪軸, 16氣門	1685cc	141.4hp@4000rpm	34.7kgm@1750~2500rpm	17			前輪驅動	雙離合器7速自手排	麥花臣	扭力樑	前後碟煞	205/55R16	跨界休旅車,廂型休旅車	5門	7人座	4525mm	1805mm	1610mm	1627kg	2750mm	536ltr		14.64km/ltr	19.24km/ltr	17.2km/ltr	2880元	7120元	58ltr	X	O	O	O	X	X	O	O	X	O	X	O	X	X	O	O	X	O	X	X	X	X	O	X	O	O	X	X	X	X	O	X	O	X	X	O	O	X	O	X	O	O	O	X	O	X	O	O	O	X	X	X	X	O	X	O	O	O	X	O	O	X	X	X	X	O	O	X	X	O	X	X	X	O	X	X	X	O	O	X	X	O	O	X	O	O	X	O	O	O	X	O	O	O	X	X	X	X	O	O	X	O	O	X
